#	Mid_a	Mid_r	Top_a	Top_r	Bottom_a	Bottom_r	Midtop_a	Midtop_r	Midbottom_a	Midbottom_r	Date_obs
      12.2068843085615129       6.0023419802010292      29.6905703108469083       3.9969513432588903     354.7231983062761174       3.8918035281883303      20.9487273097042106       5.8133290656155285       3.4650413074188151       5.3389916893571874	2008-12-12T08:52:00.005
      10.9158327040671779       6.5834502301659734      29.7321383675526789       4.2261973444772671     352.0995270405816768       4.3776553971040109      20.3239855358099284       6.4472290354758854       1.5076798723244274       5.7852193515196833	2008-12-12T09:22:00.006
      10.2812423745699419       7.2522559992363202      30.5707272344737078       4.6080333702838150     349.9917575146661761       4.9773847814517964      20.4259848045218249       6.9949665267519903       0.1364999446180590       6.4687644555957524	2008-12-12T09:52:00.005
      10.5064280737299427       8.1267849411961208      30.1573959450164892       5.3416082831872576     350.8554602024433962       5.8151433637837862      20.3319120093732160       7.8104462993149006       0.6809441380866694       7.2776870288237188	2008-12-12T10:22:00.005
       9.7969741212102832       8.7954069775711812      29.7364038551733358       5.9918808414696318     349.8575443872472306       6.5974871506339960      19.7666889881918095       8.6401673943904296     359.8272592542287498       8.0672106794521810	2008-12-12T10:52:00.005
       7.6695781125462759       9.7699892096136249      29.5902390650576876       6.3018768897060085     345.7489171600348641       4.9369190301047388      18.6299085888019818       9.6941601560614288     356.7092476362905700       8.6320633570775822	2008-12-12T11:22:00.005
       6.7493252848773864      10.8724969353911742      29.2099649029825059       7.5094755601197365     344.2886856667722668       5.9107621271034603      17.9796450939299461      10.8215169326899456     355.5190054758248266       9.6397968163768937	2008-12-12T11:52:00.004
       6.2497508227724978      12.0417224614753042      28.8527371974024334       8.0176998510325230     343.6467644481425623       6.9967484971790102      17.5512440100874656      12.0629401181907596     354.9482576354575372      10.4332724290370358	2008-12-12T12:22:00.004
       5.7046007832379146      13.0674248161714068      28.3477638736598720       8.7326498821114900     343.0614376928159572       7.2784380922353913      17.0261823284488933      13.0603051787869546     354.3830192380269182      11.3907001007150157	2008-12-12T12:52:00.006
       6.1159723017118353      14.1767055939008895      28.7753562708416837       9.5557402835629812     343.4565883325819868       8.2443095602267586      17.4456642862767595      14.1483578396260405     354.7862803171469182      12.5725902842197765	2008-12-12T13:22:00.005
       5.7804395190942657      15.2206725918311321      28.8096560509507498      10.6668096421458998     342.7512229872377816       9.2550681146087506      17.2950477850225077      14.8662422259217042     354.2658312531660272      13.8062740105536275	2008-12-12T13:52:00.005
       5.3938126832846152      16.3657375448207496      28.6628559434330015      11.3138666157548364     342.1247694231362289      10.2711215117907564      17.0283343133588083      16.1730548565198475     353.7592910532104042      14.8228269882821717	2008-12-12T14:22:00.006
       5.8990982387926110      17.5453572786449996      28.9406575366607370      12.1034143267821914     342.8575389409244849      11.3426021355299014      17.4198778877266740      17.0526331822911636     354.3783185898585657      16.2342987553190490	2008-12-12T14:52:00.005
       4.7926223881081569      24.1796553525395055      22.1445468849215104      21.1070732457847825     347.4406978912948034      20.9771605985998768      13.4685846365148336      23.6881183936420641     356.1166601397014801      23.7011956195070752	2008-12-12T16:49:01.005
       4.7543957785157076      26.1086052200765124      23.4846420343896369      22.6157053936069872     346.0241495226417783      23.2101473113936265      14.1195189064526723      25.6285855285680135     355.3892726505787323      25.4905900778753676	2008-12-12T17:29:01.029
